GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
servico-api,com.helciodasilva.servico.api.model.builder,CompraServicoBuilder,0,50,0,0,0,14,0,6,0,6
servico-api,com.helciodasilva.servico.api.enums,TipoCliente,8,58,0,0,1,9,2,4,2,4
servico-api,com.helciodasilva.servico.api.resource,EmpresaResource,187,12,12,0,46,3,15,2,9,2
servico-api,com.helciodasilva.servico.api.configuration,AppConfig,0,12,0,0,0,2,0,2,0,2
servico-api,com.helciodasilva.servico.api.configuration,SwaggerConfig,0,58,0,0,0,13,0,5,0,5
servico-api,com.helciodasilva.servico.api.configuration,AppConfig.MvcConfig,0,14,0,0,0,4,0,2,0,2
servico-api,com.helciodasilva.servico.api,ApplicationStarter,5,3,0,0,2,1,1,1,1,1
servico-api,com.helciodasilva.servico.api.model,Servico,12,21,0,0,6,9,3,5,3,5
servico-api,com.helciodasilva.servico.api.model,Compra,23,30,0,0,10,13,3,9,3,9
servico-api,com.helciodasilva.servico.api.model,Cliente,35,77,1,3,10,20,6,10,5,9
servico-api,com.helciodasilva.servico.api.model,Empresa,22,15,0,0,11,6,5,5,5,5
servico-api,com.helciodasilva.servico.api.service,EmpresaService,12,7,0,0,3,2,2,2,2,2
servico-api,com.helciodasilva.servico.api.service,CompraService,12,3,0,0,3,1,2,1,2,1
servico-api,com.helciodasilva.servico.api.service,ServicoService,16,3,0,0,4,1,3,1,3,1
servico-api,com.helciodasilva.servico.api.service,ClienteService,12,3,0,0,3,1,2,1,2,1
